customer_id,età,prezzo_abbonamento,media_presenze_sett,giorni_da_ultima_presenza,ha_rinnovato,churn,anno_iscrizione,mese_iscrizione,mese_ultima_presenza,tipo_abbonamento_encoder,sesso_F,sesso_M
CUST0000,56,80,1.88,43,True,0,2023,7,5,2,False,True
CUST0001,38,80,2.19,6,True,0,2025,1,6,2,False,True
CUST0002,36,80,0.0,119,False,1,2024,5,2,2,False,True
CUST0003,57,30,2.25,2,True,0,2023,8,6,1,False,True
CUST0004,39,80,1.66,16,False,0,2024,11,6,2,False,True
CUST0005,19,30,1.58,35,True,0,2024,2,5,1,True,False
CUST0006,50,80,0.0,102,False,1,2024,1,3,2,False,True
CUST0007,44,30,2.98,9,True,0,2023,11,6,1,True,False
CUST0008,45,30,2.37,15,True,0,2023,8,6,1,True,False
CUST0009,61,280,2.42,19,True,0,2023,7,6,0,True,False
CUST0010,20,80,0.69,51,True,0,2023,9,5,2,False,True
CUST0011,56,30,0.61,62,False,1,2024,7,4,1,True,False
CUST0012,21,80,2.2,13,True,0,2024,6,6,2,True,False
CUST0013,19,80,2.16,34,False,1,2025,4,5,2,False,True
CUST0014,45,280,0.5,104,False,1,2024,3,3,0,False,True
CUST0015,64,80,1.97,2,True,0,2024,4,6,2,True,False
CUST0016,31,30,2.91,16,True,0,2023,7,6,1,True,False
CUST0017,19,80,0.65,20,True,0,2023,10,6,2,False,True
CUST0018,59,30,1.65,18,True,0,2025,4,6,1,False,True
CUST0019,32,80,0.76,116,False,1,2024,7,2,2,False,True
CUST0020,31,30,0.2,106,False,1,2023,10,3,1,False,True
CUST0021,35,30,1.71,14,True,0,2024,10,6,1,True,False
CUST0022,41,30,2.66,12,True,0,2023,12,6,1,True,False
CUST0023,18,30,2.31,6,True,0,2023,12,6,1,True,False
CUST0024,26,80,2.79,0,True,0,2023,11,6,2,True,False
CUST0025,52,30,2.94,2,True,0,2024,5,6,1,True,False
CUST0026,50,80,0.56,49,False,1,2024,7,5,2,False,True
CUST0027,45,280,2.8,6,True,0,2023,11,6,0,False,True
CUST0028,26,80,2.05,7,True,0,2024,5,6,2,False,True
CUST0029,40,30,2.44,4,True,0,2024,10,6,1,False,True
CUST0030,52,80,2.08,58,False,1,2024,2,4,2,True,False
CUST0031,18,80,0.59,91,False,1,2025,3,3,2,False,True
CUST0032,31,80,2.68,2,True,0,2023,7,6,2,True,False
CUST0033,31,30,3.27,6,True,0,2024,3,6,1,True,False
CUST0034,44,280,2.19,8,True,0,2024,11,6,0,True,False
CUST0035,30,280,1.73,46,True,0,2024,9,5,0,False,True
CUST0036,56,30,0.95,46,False,1,2025,1,5,1,False,True
CUST0037,56,80,1.8,59,True,0,2025,1,4,2,False,True
CUST0038,32,280,3.31,10,True,0,2024,5,6,0,True,False
CUST0039,45,30,0.75,110,False,1,2023,7,3,1,True,False
CUST0040,59,30,2.19,12,True,0,2024,10,6,1,False,True
CUST0041,45,280,2.34,11,True,0,2023,12,6,0,False,True
CUST0042,61,30,1.57,34,True,0,2023,8,5,1,False,True
CUST0043,45,80,2.18,39,False,1,2025,3,5,2,True,False
CUST0044,56,80,0.42,106,False,1,2024,9,3,2,False,True
CUST0045,30,30,2.32,8,True,0,2024,2,6,1,True,False
CUST0046,20,30,1.59,53,True,0,2023,8,4,1,False,True
CUST0047,54,80,1.88,0,True,0,2024,5,6,2,False,True
CUST0048,59,30,2.17,11,True,0,2025,1,6,1,False,True
CUST0049,49,30,0.35,96,False,1,2025,1,3,1,True,False
CUST0050,29,30,1.54,6,True,0,2025,3,6,1,True,False
CUST0051,34,30,2.49,16,True,0,2025,1,6,1,True,False
CUST0052,19,30,2.28,1,True,0,2024,2,6,1,True,False
CUST0053,49,30,2.46,0,True,0,2024,3,6,1,True,False
CUST0054,18,80,2.67,18,True,0,2025,1,6,2,False,True
CUST0055,43,30,1.09,76,False,1,2024,12,4,1,False,True
CUST0056,23,30,0.97,46,True,0,2024,10,5,1,False,True
CUST0057,34,30,2.58,5,True,0,2025,3,6,1,True,False
CUST0058,41,30,3.2,4,True,0,2024,9,6,1,False,True
CUST0059,28,30,0.92,60,False,1,2023,12,4,1,False,True
CUST0060,50,280,0.2,117,False,1,2024,1,2,0,False,True
CUST0061,46,30,0.33,47,False,1,2024,3,5,1,False,True
CUST0062,37,280,2.5,3,True,0,2025,2,6,0,False,True
CUST0063,36,30,0.39,64,False,1,2024,8,4,1,False,True
CUST0064,49,280,0.66,115,False,1,2024,11,2,0,True,False
CUST0065,56,30,0.86,32,False,1,2024,11,5,1,True,False
CUST0066,57,30,0.85,45,False,1,2024,2,5,1,True,False
CUST0067,40,80,2.94,9,True,0,2023,8,6,2,False,True
CUST0068,52,30,2.23,21,True,0,2024,11,6,1,True,False
CUST0069,19,30,1.87,15,True,0,2023,10,6,1,False,True
CUST0070,29,80,0.58,113,False,1,2025,4,3,2,False,True
CUST0071,26,30,2.05,55,False,1,2025,3,4,1,False,True
CUST0072,52,80,1.87,33,True,0,2023,12,5,2,False,True
CUST0073,41,280,1.71,47,True,0,2025,4,5,0,True,False
CUST0074,41,30,2.1,25,True,0,2025,3,5,1,False,True
CUST0075,42,30,2.75,49,False,1,2023,7,5,1,True,False
