customer_id,sesso,età,data_iscrizione,tipo_abbonamento,prezzo_abbonamento,ultima_presenza,media_presenze_sett,giorni_da_ultima_presenza,churn
CUST0000,M,56,2023-07-28,trimestrale,80,2025-05-09,1.88,43,0
CUST0001,M,38,2025-01-05,trimestrale,80,2025-06-15,2.19,6,0
CUST0002,M,36,2024-05-27,trimestrale,80,2025-02-22,0,119,1
CUST0003,M,57,2023-08-05,mensile,30,2025-06-19,2.25,2,0
CUST0004,M,39,2024-11-03,trimestrale,80,2025-06-05,1.66,16,0
CUST0005,F,19,2024-02-07,mensile,30,2025-05-17,1.58,35,0
CUST0006,M,50,2024-01-05,trimestrale,80,2025-03-11,0,102,1
CUST0007,F,44,2023-11-22,mensile,30,2025-06-12,2.98,9,0
CUST0008,F,45,2023-08-18,mensile,30,2025-06-06,2.37,15,0
CUST0009,F,61,2023-07-23,annuale,280,2025-06-02,2.42,19,0
CUST0010,M,20,2023-09-24,trimestrale,80,2025-05-01,0.69,51,0
CUST0011,F,56,2024-07-16,mensile,30,2025-04-20,0.61,62,1
CUST0012,F,21,2024-06-03,trimestrale,80,2025-06-08,2.2,13,0
CUST0013,M,19,2025-04-11,trimestrale,80,2025-05-18,2.16,34,1
CUST0014,M,45,2024-03-25,annuale,280,2025-03-09,0.5,104,1
CUST0015,F,64,2024-04-11,trimestrale,80,2025-06-19,1.97,2,0
CUST0016,F,31,2023-07-21,mensile,30,2025-06-05,2.91,16,0
CUST0017,M,19,2023-10-09,trimestrale,80,2025-06-01,0.65,20,0
CUST0018,M,59,2025-04-12,mensile,30,2025-06-03,1.65,18,0
CUST0019,M,32,2024-07-29,trimestrale,80,2025-02-25,0.76,116,1
CUST0020,M,31,2023-10-18,mensile,30,2025-03-07,0.2,106,1
CUST0021,F,35,2024-10-12,mensile,30,2025-06-07,1.71,14,0
CUST0022,F,41,2023-12-13,mensile,30,2025-06-09,2.66,12,0
CUST0023,F,18,2023-12-02,mensile,30,2025-06-15,2.31,6,0
CUST0024,F,26,2023-11-03,trimestrale,80,2025-06-21,2.79,0,0
CUST0025,F,52,2024-05-30,mensile,30,2025-06-19,2.94,2,0
CUST0026,M,50,2024-07-18,trimestrale,80,2025-05-03,0.56,49,1
CUST0027,M,45,2023-11-21,annuale,280,2025-06-15,2.8,6,0
CUST0028,M,26,2024-05-20,trimestrale,80,2025-06-14,2.05,7,0
CUST0029,M,40,2024-10-07,mensile,30,2025-06-17,2.44,4,0
CUST0030,F,52,2024-02-08,trimestrale,80,2025-04-24,2.08,58,1
CUST0031,M,18,2025-03-05,trimestrale,80,2025-03-22,0.59,91,1
CUST0032,F,31,2023-07-08,trimestrale,80,2025-06-19,2.68,2,0
CUST0033,F,31,2024-03-02,mensile,30,2025-06-15,3.27,6,0
CUST0034,F,44,2024-11-29,annuale,280,2025-06-13,2.19,8,0
CUST0035,M,30,2024-09-05,annuale,280,2025-05-06,1.73,46,0
CUST0036,M,56,2025-01-15,mensile,30,2025-05-06,0.95,46,1
CUST0037,M,56,2025-01-05,trimestrale,80,2025-04-23,1.8,59,0
CUST0038,F,32,2024-05-12,annuale,280,2025-06-11,3.31,10,0
CUST0039,F,45,2023-07-21,mensile,30,2025-03-03,0.75,110,1
CUST0040,M,59,2024-10-23,mensile,30,2025-06-09,2.19,12,0
CUST0041,M,45,2023-12-30,annuale,280,2025-06-10,2.34,11,0
CUST0042,M,61,2023-08-14,mensile,30,2025-05-18,1.57,34,0
CUST0043,F,45,2025-03-01,trimestrale,80,2025-05-13,2.18,39,1
CUST0044,M,56,2024-09-05,trimestrale,80,2025-03-07,0.42,106,1
CUST0045,F,30,2024-02-09,mensile,30,2025-06-13,2.32,8,0
CUST0046,M,20,2023-08-02,mensile,30,2025-04-29,1.59,53,0
CUST0047,M,54,2024-05-04,trimestrale,80,2025-06-21,1.88,0,0
CUST0048,M,59,2025-01-13,mensile,30,2025-06-10,2.17,11,0
CUST0049,F,49,2025-01-08,mensile,30,2025-03-17,0.35,96,1
