customer_id,sesso,età,data_iscrizione,tipo_abbonamento,prezzo_abbonamento,ultima_presenza,media_presenze_sett,giorni_da_ultima_presenza,churn
CUST0001,F,48,2022-03-05,mensile,12,2025-07-20,2.4,19,0
CUST0002,F,53,2023-02-26,mensile,10,2025-10-07,2,16,1
CUST0003,F,26,2022-12-18,mensile,12,2025-11-07,3.7,4,1
CUST0004,M,35,2022-10-18,mensile,10,2025-07-23,4,2,0
CUST0005,F,21,2023-05-31,mensile,22,2025-05-07,3.4,15,1
CUST0006,M,59,2022-10-12,mensile,12,2025-07-26,5,11,1
CUST0007,F,36,2022-10-13,mensile,12,2025-07-14,1.2,2,0
CUST0008,M,48,2022-04-11,mensile,10,2025-07-07,2.4,0,1
CUST0009,F,56,2022-03-17,mensile,20,2025-07-24,3.1,9,0
CUST0010,F,41,2022-10-26,mensile,18.5,2025-08-11,1,17,1
CUST0011,M,21,2023-05-06,mensile,12,2025-01-07,3.6,22,1
CUST0012,M,28,2022-01-16,mensile,18.5,2025-07-20,1.4,21,0
CUST0013,M,49,2022-08-07,mensile,20,2025-07-30,4.8,29,0
CUST0014,F,26,2023-05-01,mensile,15,2025-02-07,3.5,28,1
CUST0015,M,36,2022-06-10,mensile,22,2025-07-20,1.7,28,0
CUST0016,M,35,2023-04-14,mensile,15,2025-07-23,4.1,27,1
CUST0017,M,28,2022-05-16,mensile,15,2025-07-24,2.3,7,1
CUST0018,F,50,2022-09-30,mensile,12,2025-07-07,4.4,6,0
CUST0019,M,40,2022-07-28,mensile,18,2025-07-15,1,200,1
CUST0020,F,35,2023-04-14,mensile,15,2025-07-18,4.8,12,0
CUST0021,F,35,2022-01-25,mensile,12,2025-07-31,3.4,16,1
CUST0022,M,60,2022-07-11,mensile,18.5,2025-08-14,2.6,14,0
CUST0023,M,30,2022-09-14,mensile,18.5,2025-07-27,3.2,29,1
CUST0024,F,45,2022-06-08,mensile,22,2025-07-18,1.2,27,0
CUST0025,F,46,2023-02-04,mensile,18.5,2025-07-26,3,23,1
CUST0026,M,35,2023-05-13,mensile,18.5,2025-05-07,4.7,11,0
CUST0027,M,58,2022-11-13,mensile,15,2025-07-31,4.9,21,1
CUST0028,F,33,2023-05-26,mensile,20,2025-08-14,1.9,7,0
CUST0029,F,51,2023-02-18,mensile,22,2025-05-07,3.8,24,1
CUST0030,F,54,2022-06-08,mensile,22,2025-08-01,2.6,24,1
CUST0031,F,22,2023-03-30,mensile,12,2025-07-24,4.2,30,1
CUST0032,M,49,2022-02-12,mensile,18,2025-02-07,2.7,3,0
CUST0033,M,57,2022-07-28,mensile,22,2025-07-22,3.7,23,1
CUST0034,F,40,2022-11-15,mensile,12,2025-06-07,1.9,10,0
CUST0035,M,49,2022-03-21,mensile,18.5,2025-07-19,1.1,28,0
CUST0036,M,48,2022-06-23,mensile,18.5,2025-08-13,2.3,25,1
CUST0037,M,29,2022-06-06,mensile,12,2025-07-16,2.7,26,0
CUST0038,F,37,2022-06-21,mensile,20,2025-02-07,4.9,28,0
CUST0039,M,29,2023-06-18,mensile,18,2025-08-14,1,4,0
CUST0040,F,29,2023-03-01,mensile,18.5,2025-08-07,4.7,27,1
CUST0041,M,26,2022-04-14,mensile,12,2025-07-21,4.1,6,0
CUST0042,M,19,2023-01-25,mensile,22,2025-07-14,4.5,18,1
CUST0043,F,53,2022-02-09,mensile,18,2025-07-15,2,28,0
CUST0044,M,20,2023-01-02,mensile,20,2025-07-23,2,9,1
CUST0045,M,29,2023-06-14,mensile,20,2025-08-07,4.2,25,1
CUST0046,M,57,2023-06-18,mensile,20,2025-07-19,1.1,27,0
CUST0047,M,58,2023-06-02,mensile,12,2025-12-07,2.3,12,1
CUST0048,M,56,2022-11-27,mensile,10,2025-07-26,4.6,28,1
CUST0049,F,26,2022-09-17,mensile,12,2025-11-07,2.2,30,1
CUST0050,M,22,2022-05-03,mensile,20,2025-08-11,3.7,8,0
